age,income,education,work,car,default,log_income,income_per_age,employed_educated,age_sq
27,32,0,0,1,0,3.4965075614664802,1.1851851851851851,0,729
26,50,1,0,0,0,3.9318256327243257,1.9230769230769231,0,676
35,20,0,1,0,0,3.044522437723423,0.5714285714285714,0,1225
35,80,1,1,0,0,4.394449154672439,2.2857142857142856,1,1225
24,27,0,0,0,0,3.332204510175204,1.125,0,576
35,35,0,0,1,0,3.58351893845611,1.0,0,1225
35,20,0,0,0,0,3.044522437723423,0.5714285714285714,0,1225
55,8,0,0,1,1,2.1972245773362196,0.14545454545454545,0,3025
34,30,1,0,1,0,3.4339872044851463,0.8823529411764706,0,1156
42,60,1,0,0,0,4.110873864173311,1.4285714285714286,0,1764
45,22,0,0,0,0,3.1354942159291497,0.4888888888888889,0,2025
67,20,0,0,1,0,3.044522437723423,0.29850746268656714,0,4489
21,30,0,0,0,1,3.4339872044851463,1.4285714285714286,0,441
36,90,0,0,0,0,4.51085950651685,2.5,0,1296
29,30,1,1,0,0,3.4339872044851463,1.0344827586206897,1,841
62,35,0,0,0,0,3.58351893845611,0.5645161290322581,0,3844
55,90,0,0,1,0,4.51085950651685,1.6363636363636365,0,3025
25,60,1,0,1,0,4.110873864173311,2.4,0,625
43,20,0,0,0,0,3.044522437723423,0.46511627906976744,0,1849
47,30,0,0,0,0,3.4339872044851463,0.6382978723404256,0,2209
55,15,0,0,0,0,2.772588722239781,0.2727272727272727,0,3025
47,25,0,0,0,0,3.258096538021482,0.5319148936170213,0,2209
58,32,0,0,1,1,3.4965075614664802,0.5517241379310345,0,3364
26,17,0,1,1,0,2.8903717578961645,0.6538461538461539,0,676
40,37,1,0,1,1,3.6375861597263857,0.925,0,1600
26,32,0,0,1,0,3.4965075614664802,1.2307692307692308,0,676
61,8,0,0,0,1,2.1972245773362196,0.13114754098360656,0,3721
45,20,1,0,0,0,3.044522437723423,0.4444444444444444,0,2025
35,25,1,0,1,0,3.258096538021482,0.7142857142857143,0,1225
43,40,0,0,0,0,3.713572066704308,0.9302325581395349,0,1849
43,22,0,0,0,0,3.1354942159291497,0.5116279069767442,0,1849
46,65,1,0,0,0,4.189654742026425,1.4130434782608696,0,2116
62,18,0,0,0,0,2.9444389791664403,0.2903225806451613,0,3844
39,7,0,1,0,0,2.0794415416798357,0.1794871794871795,0,1521
35,50,1,1,0,0,3.9318256327243257,1.4285714285714286,1,1225
21,45,1,0,0,0,3.828641396489095,2.142857142857143,0,441
30,150,1,0,1,0,5.017279836814924,5.0,0,900
38,35,0,1,1,0,3.58351893845611,0.9210526315789473,0,1444
27,25,0,0,0,1,3.258096538021482,0.9259259259259259,0,729
31,30,1,0,1,0,3.4339872044851463,0.967741935483871,0,961
26,17,1,1,0,0,2.8903717578961645,0.6538461538461539,1,676
47,35,0,0,1,0,3.58351893845611,0.7446808510638298,0,2209
41,16,0,0,0,0,2.833213344056216,0.3902439024390244,0,1681
40,25,1,0,0,1,3.258096538021482,0.625,0,1600
31,50,1,0,0,0,3.9318256327243257,1.6129032258064515,0,961
39,43,0,0,1,0,3.784189633918261,1.1025641025641026,0,1521
52,38,1,1,0,0,3.6635616461296463,0.7307692307692307,1,2704
39,18,0,0,1,0,2.9444389791664403,0.46153846153846156,0,1521
37,50,0,0,1,0,3.9318256327243257,1.3513513513513513,0,1369
26,27,0,0,1,1,3.332204510175204,1.0384615384615385,0,676
35,30,0,0,0,0,3.4339872044851463,0.8571428571428571,0,1225
47,45,0,0,0,0,3.828641396489095,0.9574468085106383,0,2209
54,60,0,0,1,0,4.110873864173311,1.1111111111111112,0,2916
43,30,0,0,0,0,3.4339872044851463,0.6976744186046512,0,1849
30,160,1,1,0,0,5.081404364984463,5.333333333333333,1,900
25,50,0,1,0,0,3.9318256327243257,2.0,0,625
29,60,0,1,1,0,4.110873864173311,2.0689655172413794,0,841
30,156,1,1,1,0,5.056245805348308,5.2,1,900
35,22,0,0,0,0,3.1354942159291497,0.6285714285714286,0,1225
33,15,1,0,0,0,2.772588722239781,0.45454545454545453,0,1089
23,50,0,1,1,0,3.9318256327243257,2.1739130434782608,0,529
30,90,0,0,0,0,4.51085950651685,3.0,0,900
30,45,0,1,1,1,3.828641396489095,1.5,0,900
48,18,0,0,1,0,2.9444389791664403,0.375,0,2304
37,50,0,0,1,0,3.9318256327243257,1.3513513513513513,0,1369
29,25,1,1,0,0,3.258096538021482,0.8620689655172413,1,841
33,200,1,1,1,0,5.303304908059076,6.0606060606060606,1,1089
28,40,0,0,0,0,3.713572066704308,1.4285714285714286,0,784
28,25,0,0,0,0,3.258096538021482,0.8928571428571429,0,784
62,300,0,0,1,0,5.707110264748875,4.838709677419355,0,3844
38,15,0,0,0,0,2.772588722239781,0.39473684210526316,0,1444
31,290,1,1,1,0,5.673323267171493,9.35483870967742,1,961
44,35,1,0,1,0,3.58351893845611,0.7954545454545454,0,1936
31,50,1,0,0,0,3.9318256327243257,1.6129032258064515,0,961
56,8,0,0,0,0,2.1972245773362196,0.14285714285714285,0,3136
36,45,1,0,1,0,3.828641396489095,1.25,0,1296
29,14,0,0,0,0,2.70805020110221,0.4827586206896552,0,841
46,25,0,0,0,1,3.258096538021482,0.5434782608695652,0,2116
50,20,0,0,0,0,3.044522437723423,0.4,0,2500
23,22,0,0,0,0,3.1354942159291497,0.9565217391304348,0,529
45,50,0,0,1,0,3.9318256327243257,1.1111111111111112,0,2025
27,18,0,1,0,0,2.9444389791664403,0.6666666666666666,0,729
35,90,1,1,1,0,4.51085950651685,2.5714285714285716,1,1225
25,65,1,0,0,0,4.189654742026425,2.6,0,625
64,100,1,0,0,0,4.61512051684126,1.5625,0,4096
57,30,1,0,0,0,3.4339872044851463,0.5263157894736842,0,3249
43,90,1,0,0,0,4.51085950651685,2.0930232558139537,0,1849
25,35,0,0,0,1,3.58351893845611,1.4,0,625
37,39,1,0,0,0,3.6888794541139363,1.054054054054054,0,1369
40,50,0,1,1,0,3.9318256327243257,1.25,0,1600
34,45,0,0,0,0,3.828641396489095,1.3235294117647058,0,1156
29,30,1,0,0,0,3.4339872044851463,1.0344827586206897,0,841
28,40,0,1,1,0,3.713572066704308,1.4285714285714286,0,784
25,2,0,0,0,0,1.0986122886681096,0.08,0,625
30,20,0,0,1,1,3.044522437723423,0.6666666666666666,0,900
33,35,1,0,0,0,3.58351893845611,1.0606060606060606,0,1089
29,15,1,1,0,0,2.772588722239781,0.5172413793103449,1,841
32,40,1,1,0,0,3.713572066704308,1.25,1,1024
